Geometri,Latitude,Longitude,City,Biaya,21-Dec-19,22-Dec-19,23-Dec-19,24-Dec-19,25-Dec-19,26-Dec-19,27-Dec-19,28-Dec-19
northeast,2.13667395,98.5466682,Air Terjun Pollung,15000.0,25(Berawan),25(Gerimis Berpetir),26(Badai Guntur Tidak Merata),26(Gerimis Berpetir),26(Gerimis Berpetir),26(Badai Guntur),26(Badai Guntur Tidak Merata),27(Badai Guntur Tidak Merata)
northeast,2.34950343,98.42782603,Air Terjun Sibabo,0.0,25(Berawan),25(Gerimis Berpetir),26(Badai Guntur Tidak Merata),26(Gerimis Berpetir),26(Gerimis Berpetir),26(Badai Guntur),26(Badai Guntur Tidak Merata),27(Badai Guntur Tidak Merata)
northeast,2.27213723,98.51991353,Air Terjun Simolap,0.0,27(Badai Petir),29(Badai Petir),31(Hujan),30(Badai Petir),30(Badai Petir),29(Badai Petir),30(Badai Petir),30(Badai Petir)
northeast,2.3000476,98.79702783,Air Terjun Sitiotio,5000.0,26 (Badai Petir),27(Badai Petir),26(Badai Petir),27(Badai Petir),27(Badai Petir),27(Badai Petir),27(Badai Petir),27(Badai Petir)
northeast,2.32540333,98.84756993,Aek Sipangolu Bakkara,5000.0,24(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak Merata),26(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir)
northeast,2.24347223,98.79564338,Bukit Inspirasi,5000.0,24(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak Merata),26(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir)
northeast,2.33803795,98.8183635,Panatapan Sileme-leme,0.0,24(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak Merata),26(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir)
northeast,2.42168603,98.77648278,Tempat Permandian,60000.0,24(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak Merata),26(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir)
northeast,2.29317173,98.88156293,Simpang Masuk Sipincur,5000.0,22 (Hujan),24(Gerimis Berpetir),25(Badai Guntur Tidak Merata),24 (Gerimis Berpetir),25(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir)
northeast,2.21282003,98.54398403,objek wisata baronjong aek sirahar,20000.0,23(Gerimis),24(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),25(Gerimis Berpetir),26(Badai Guntur Tidak Merata)
northeast,2.20701268,98.53325613,Saba Napa,50000.0,23(Gerimis),24(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),25(Gerimis Berpetir),26(Badai Guntur Tidak Merata)
northeast,2.30697478,98.81384158,Istana Makam Raja Sisingamangaraja,7000.0,23(Gerimis),24(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),25(Gerimis Berpetir),26(Badai Guntur Tidak Merata)
northeast,2.32106183,98.82730178,BATU HUNDUL-HUNDULAN,0.0,25(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak Merata),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir)
northeast,2.32172353,98.82784273,HARIARA TUNGKOT,0.0,25(Hujan),26(Gerimis Berpetir),27(Badai Guntur),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir)
northeast,2.31613993,98.98157603,Bukit Doa,20000.0,25(Hujan),26(Gerimis Berpetir),27(Badai Guntur),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir)
northeast,2.33523683,98.91779818,Muara Nauli,5000.0,29(Berawan),29(Gerimis Berpetir),29(Badai Guntur Tidak Merata),30(Gerimis Berpetir),29(Gerimis Berpetir),29(Badai Guntur),30(Badai Guntur),31(Badai Guntur)
northeast,3.24260298,98.53823118,Air Terjun Sikulikap,30000.0,21 (Hujan),22 (Gerimis Berpetir),23 ( Gerimis),23 (Gerimis Tidak Merata),24 ( Badai Guntur Tidak Merata,22 (Gerimis Berpetir),27 (Gerimis Berpetir),23 (Gerimis Berpetir)
northeast,3.19855423,98.54215983,Taman Alam Lumbini,0.0,19 (Hujan),22 (Badai Guntur Tidak Merata),23 (Gerimis Tidak Merata),23 (Badai Guntur Tidak Merata),23 (Badai Guntur Tidak Merata),22 (Gerimis Berpetir),22 (Gerimis Berpetir),23 (Badai Guntur Tidak Merata)
northeast,3.19409288,98.50267883,"Gundaling Hill, Berastagi",5000.0,20 (Gerimis Berpetir),21 (Gerimis),23 (Gerimis),22 (Gerimis Tidak Merata),23 (Badai Guntur Tidak Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir)
northeast,3.19675888,98.50975298,Pasar Buah Berastagi,0.0,20 (Hujan),21 (Gerimis Berpetir),23 (Gerimis),22 (Gerimis Tidak Merata),23 (Badai Guntur Tidak Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir)
northeast,3.22856898,98.54001323,LAU SIDEBUK DEBUK,100000.0,21 (Hujan),22 (Gerimis Berpetir),24 (Gerimis),23 (Badai Guntur Tidak Merata),24 (Badai Guntur Tidak Merata),23 (Gerimis Berpetir),24 (Gerimis Berpikir),24 (Gerimis  Berpikir)
northeast,2.91805503,98.52038588,Air Terjun Sipiso Piso,25000.0,22 (Hujan),23 (Gerimis Berpetir),26 (Gerimis),25 (Gerimis Tidak Merata),26 (Badai Guntir Tidak Merata),24 (Gerimis Berpetir,25 (Gerimis Berpetir),25 (Gerimis Berpetir)
northeast,3.20476273,98.52699388,Mikie Funland,100000.0,20 (Hujan),21 (Gerimis Berpetir),23 (Gerimis),22 (Gerimis Tidak Merata) ,23 (Badai Guntur Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir)
northeast,3.2003527000000003,98.3840508,Danau Lau Kawar,2500.0,21 (Gerimis),21 (Gerimis Berpetir),23 (Gerimis),22 (Gerimis Tidak Merata),23 (Badai Guntur Tidak Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir)
northeast,3.26052033,98.51484603,Two Colors Waterfall,0.0,21 (Hujan),22 (Berpetir),23 (Gerimis),23 (Gerimis Tidak Merata),24 (Badai Guntur Tidak Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Berpetir)
northeast,3.19605438,98.50957523,Museum Pusaka Karo - Berastagi,0.0,21 (Hujan),22 (Berpetir),23 (Gerimis),23 (Gerimis Tidak Merata),24 (Badai Guntur Tidak Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Berpetir)
northeast,3.19892248,98.51340653,Bukit Kubu Berastagi,100000.0,20 (Hujan),21 ( Gerimis Berpetir),23 (Gerimis),22 (Gerimis Tidak Merata),23 (Badai Guntur),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir)
northeast,3.22858903,98.54006688,TWA Lau Debuk-debuk,0.0,20 (Hujan),21 ( Gerimis Berpetir),23 (Gerimis),22 (Gerimis Tidak Merata),23 (Badai Guntur),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir)
