Geometri,Latitude,Longitude,City,Biaya,21-Dec-19,22-Dec-19,23-Dec-19,24-Dec-19,25-Dec-19,26-Dec-19,27-Dec-19,28-Dec-19
southwest,3.07741917,99.07787647,,3500,28 (Berawan),29 (Gerimis Berpetir),31 (Gerimis Tidak Merata),31 (Badai Guntur Tidak Merata),31 (Badai Guntur Tidak Merata),29 (Gerimis Berpetir),30 (Gerimis Berpetir),30 (Gerimis Berpetir)
northeast,2.95757273,98.80824663,Air Terjun Tarak Nionggang,5000,23 (Hujan),25 (Gerimis Berpetir),26 (Gerimis Tidak Merata),26 (Badai Guntur Tidak merata),26 (Badai Guntur Tidak merata),26 (Gerimis Berpetir),26 (Badai guntur Tidak Merata),26 (Gerimis Berpetir)
southwest,2.95487307,98.80554697,,5000,23 (Hujan),25 (Gerimis Berpetir),26 (Gerimis Tidak Merata),26 (Badai Guntur Tidak merata),26 (Badai Guntur Tidak merata),26 (Gerimis Berpetir),26 (Badai guntur Tidak Merata),26 (Gerimis Berpetir)
northeast,3.10564108,98.92810038,Wisata Bah Kulistik,0,,,,,,,,
southwest,3.10294142,98.92540072,,0,,,,,,,,
northeast,2.69411773,98.92819828,Taman Wisata Kera Sibaganding,0,25 (Berawan),27 (Gerimis Berpetir),28 (Gerimis Tidak Merata),28 (Gerimis Berpetir),28 ( Badai Guntur Tidak Merata),27 (Gerimis Berpetir),28 (Gerimis Berpetir),28 (Gerimis Berpetir)
southwest,2.69141807,98.92549862,,0,25 (Berawan),27 (Gerimis Berpetir),28 (Gerimis Tidak Merata),28 (Gerimis Berpetir),28 ( Badai Guntur Tidak Merata),27 (Gerimis Berpetir),28 (Gerimis Berpetir),28 (Gerimis Berpetir)
northeast,2.71946473,99.14069943,Niagara sipitu Tikka,5000,,,,,,,,
southwest,2.71676507,99.13799977,,5000,,,,,,,,
northeast,2.85771038,98.90918588,"Kebun Teh Bahbutong, Sidamanik",10000,23 (Berawan),25 (Gerimis Berpetir),26 (Gerimis Tidak Merata),27 (Badai guntur Tidak Merata),27 (Badai guntur Tidak Merata),25 (Gerimis Berpetir),26 (Gerimis Berpetir),26 (Gerimis Berpetir)
southwest,2.85501072,98.90648622,,10000,23 (Berawan),25 (Gerimis Berpetir),26 (Gerimis Tidak Merata),27 (Badai guntur Tidak Merata),27 (Badai guntur Tidak Merata),25 (Gerimis Berpetir),26 (Gerimis Berpetir),26 (Gerimis Berpetir)
northeast,2.92515433,98.53690263,Bukit Gundul (bukit sipiso-piso),15000,18 (Hujan),21 (Gerimis Berpetir),22 (Gerimis),22 (Gerimis),22 (Badai Guntur Tidak Merata),21 (Gerimis Berpetir),22 (Gerimis Berpetir),22 (Badai Guntur Tidak Merata)
southwest,2.92245467,98.53420297,,15000,18 (Hujan),21 (Gerimis Berpetir),22 (Gerimis),22 (Gerimis),22 (Badai Guntur Tidak Merata),22 (Gerimis Berpetir),22 (Gerimis Berpetir),22 (Badai Guntur Tidak Merata)
northeast,2.78875645,98.80707805,Objek Wisata Pantai Paris,5000,22 (Gerimis),24 (Gerimis Berpetir),25 (Gerimis Tidak Merata),25 (Badai Guntur Tidak Merata),25 (Badai Guntur Tidak Merata),24 (Gerimis Berpetir),24 (Badai Guntur Tidak Merata),25 (Gerimis Berpetir)
southwest,2.78366985,98.80236625,,5000,22 (Gerimis),24 (Gerimis Berpetir),25 (Gerimis Tidak Merata),25 (Badai Guntur Tidak Merata),25 (Badai Guntur Tidak Merata),24 (Gerimis Berpetir),24 (Badai Guntur Tidak Merata),25 (Gerimis Berpetir)
northeast,2.84859383,98.92812335,Sidamanik Rice Field,0,23 (Berawan),25 (Gerimis Berpetir),26 (Gerimis Tidak Merata),27 (Badai guntur Tidak Merata),27 (Badai guntur Tidak Merata),25 (Gerimis Berpetir),26 (Gerimis Berpetir),26 (Gerimis Berpetir)
southwest,2.84589417,98.92348435,,0,23 (Berawan),25 (Gerimis Berpetir),26 (Gerimis Tidak Merata),27 (Badai guntur Tidak Merata),27 (Badai guntur Tidak Merata),25 (Gerimis Berpetir),26 (Gerimis Berpetir),26 (Gerimis Berpetir)
